Year,Annual Precipitation (mm)
2001,2023.7789306640625
2002,1298.892333984375
2003,1823.415283203125
2004,1333.52099609375
2005,1432.8214111328125
2006,1691.9688720703125
2007,1730.9425048828125
2008,2119.171630859375
2009,1538.48828125
2010,1561.588134765625
2011,2377.853759765625
2012,1840.5574951171875
2013,1651.23828125
2014,2076.48681640625
2015,1288.8485107421875
2016,1707.8677978515625
2017,2216.380615234375
2018,1707.64306640625
2019,1229.64111328125
2020,1712.8612060546875
