,Type IV,Type III,Type II,Type I,Month
0,21.928607940673828,20.932968139648438,21.690196990966797,19.967042922973633,Jan
1,21.871301651000977,21.007551193237305,21.667293548583984,20.170291900634766,Feb
2,22.160663604736328,21.646278381347656,22.236082077026367,21.139909744262695,Mar
3,22.79447364807129,22.57470703125,23.131681442260742,22.338918685913086,Apr
4,23.306568145751953,23.05478286743164,23.883563995361328,22.87693977355957,May
5,23.065980911254883,22.871347427368164,23.932064056396484,22.70519256591797,Jun
6,22.833316802978516,22.590728759765625,23.70705223083496,22.38865852355957,Jul
7,22.89858055114746,22.610721588134766,23.803220748901367,22.39894676208496,Aug
8,22.763151168823242,22.45949363708496,23.56028175354004,22.256656646728516,Sep
9,22.731685638427734,22.233766555786133,23.230459213256836,21.949731826782227,Oct
10,22.55827522277832,22.016042709350586,22.926549911499023,21.616701126098633,Nov
11,22.368125915527344,21.53843116760254,22.388004302978516,20.918575286865234,Dec
