,Year,rx1day
0,2001,138.10316467285156
1,2002,60.30879592895508
2,2003,113.68972778320312
3,2004,74.51634216308594
4,2005,62.80188751220703
5,2006,92.0615463256836
6,2007,84.28642272949219
7,2008,75.41356658935547
8,2009,49.38225173950195
9,2010,76.65797424316406
10,2011,205.12574768066406
11,2012,110.49930572509766
12,2013,90.57759094238281
13,2014,94.53538513183594
14,2015,60.40524673461914
15,2016,113.70539093017578
16,2017,84.7450942993164
17,2018,83.67286682128906
18,2019,80.46919250488281
19,2020,80.6319580078125
