,Type IV,Type III,Type II,Type I,Month
0,25.837329864501953,25.027830123901367,24.792461395263672,24.58863067626953,Jan
1,26.096769332885742,25.444299697875977,25.06657600402832,25.07139015197754,Feb
2,26.73973274230957,26.439546585083008,25.906713485717773,26.210817337036133,Mar
3,27.544292449951172,27.582462310791016,27.06548309326172,27.417354583740234,Apr
4,27.756526947021484,27.814355850219727,27.864961624145508,27.45103645324707,May
5,27.23401641845703,27.372669219970703,27.82674217224121,26.86325454711914,Jun
6,26.867406845092773,26.833372116088867,27.43195152282715,26.175954818725586,Jul
7,27.007144927978516,26.841211318969727,27.57601547241211,25.970684051513672,Aug
8,27.031776428222656,26.772924423217773,27.382699966430664,26.0311336517334,Sep
9,27.007030487060547,26.46074867248535,26.824302673339844,26.02644920349121,Oct
10,26.75383949279785,26.16166877746582,26.199586868286133,25.85360336303711,Nov
11,26.362977981567383,25.472545623779297,25.388687133789062,25.14468765258789,Dec
