,Year,rx1day
0,2001,138.93344116210938
1,2002,62.60940933227539
2,2003,119.23155212402344
3,2004,87.90713500976562
4,2005,67.2721176147461
5,2006,91.08905792236328
6,2007,88.86359405517578
7,2008,120.71162414550781
8,2009,113.17333221435547
9,2010,71.58792114257812
10,2011,164.22080993652344
11,2012,89.0416030883789
12,2013,85.11077117919922
13,2014,121.2115707397461
14,2015,58.715919494628906
15,2016,83.6093978881836
16,2017,88.47164916992188
17,2018,87.10028076171875
18,2019,77.35861206054688
19,2020,81.03282165527344
