,Type IV,Type III,Type II,Type I,Month
0,29.746044158935547,29.122699737548828,27.89474105834961,29.210195541381836,Jan
1,30.32224464416504,29.88104248046875,28.465848922729492,29.972469329833984,Feb
2,31.31882667541504,31.23284149169922,29.57733154296875,31.281734466552734,Mar
3,32.29412078857422,32.590213775634766,30.999317169189453,32.495784759521484,Apr
4,32.20649337768555,32.57392883300781,31.846364974975586,32.0251350402832,May
5,31.402040481567383,31.87401008605957,31.721412658691406,31.02131462097168,Jun
6,30.901504516601562,31.076005935668945,31.1568603515625,29.963268280029297,Jul
7,31.11570167541504,31.071685791015625,31.348806381225586,29.542428970336914,Aug
8,31.300403594970703,31.086341857910156,31.205121994018555,29.805612564086914,Sep
9,31.28237533569336,30.687713623046875,30.418169021606445,30.103160858154297,Oct
10,30.94940757751465,30.307296752929688,29.472618103027344,30.090482711791992,Nov
11,30.357839584350586,29.406660079956055,28.389371871948242,29.370826721191406,Dec
