Year,Tas
2001,27.71809196472168
2002,27.72068977355957
2003,27.656246185302734
2004,27.720964431762695
2005,27.77776336669922
2006,27.836347579956055
2007,27.81905174255371
2008,27.689895629882812
2009,27.821643829345703
2010,28.133832931518555
2011,27.65932846069336
2012,27.909137725830078
2013,28.03959846496582
2014,27.681884765625
2015,27.931652069091797
2016,28.26970863342285
2017,27.895408630371094
2018,28.04971694946289
2019,28.1766414642334
2020,28.246625900268555
