Year,Tas
2001,27.90380096435547
2002,27.74666976928711
2003,27.871723175048828
2004,27.836063385009766
2005,27.97400665283203
2006,28.124221801757812
2007,28.245277404785156
2008,27.921022415161133
2009,27.81529998779297
2010,28.62784194946289
2011,27.841880798339844
2012,28.06774139404297
2013,28.146039962768555
2014,27.88667869567871
2015,28.16278839111328
2016,28.679302215576172
2017,28.34531593322754
2018,28.18248176574707
2019,28.43341636657715
2020,28.603191375732422
